ID,Date,Close,Clo_by_High_min95,Close_by_Low_min95,1D_r,1D_r_cat,2D_r,2D_r_cat,3D_r,3D_r_cat,5D_r,5D_r_cat,macd_5_3_1,macd_5_3_2,RSI_3,RSI_3_Category,STOC_3_K,STOCK_3_K_CAT,STOCK_7_K-D,CCI_3,CCI_5,NEXTDRET
7813,1/9/2017,2268.9,4.71,5,-0.35,NP50,0,NP10,-0.08,NP10,1.34,P15,2.25,-0.38,53.5,HIGH,39,LOW,-10.63,7.21,52.88,TNEG
7814,1/10/2017,2268.9,4.55,5.16,0,PP10,-0.35,NP50,0,NP10,0.49,PP50,1.32,-0.44,53.5,HIGH,26.8,LOW,-5.56,-48.85,22.96,TNEG
7815,1/11/2017,2275.32,5,5.64,0.28,PP50,0.28,PP50,-0.07,NP10,0.2,PP25,1.86,0.03,70.6,HIGH,78.6,HIGH,5.93,-100,-13.18,TNEG
7816,1/12/2017,2270.45,4.96,5.72,-0.21,NP25,0.07,PP10,0.07,PP10,0.06,PP10,0.92,-0.3,49.8,LOW,64.7,HIGH,-12.7,-100,-166.38,TNEG
7817,1/15/2017,2274.64,4.82,5.14,0.18,PP25,-0.03,NP10,0.25,PP50,-0.1,NP25,1.15,-0.02,63.6,HIGH,83.5,HIGH,2.2,95.52,134.89,TNEG
7818,1/16/2017,2267.7,4.88,5.12,-0.31,NP50,-0.12,NP25,-0.33,NP50,-0.05,NP10,-0.12,-0.43,37.8,LOW,55.1,HIGH,-11.6,-28.95,-54.34,TNEG
7819,1/18/2017,2270.54,5.32,4.99,0.13,PP25,-0.18,NP25,0,PP10,0.07,PP10,-0.05,-0.12,50.2,HIGH,40.5,LOW,2.9,-44.84,-28.2,TNEG
7820,1/19/2017,2264.48,4.57,5.27,-0.27,NP50,-0.14,NP25,-0.45,NP50,-0.48,NP50,-1.03,-0.37,30.6,LOW,38.1,LOW,-10.54,-100,-67.83,TNEG
7821,1/20/2017,2271.31,4.75,5.28,0.3,PP50,0.03,PP10,0.16,PP25,0.04,PP10,-0.05,0.21,58.2,HIGH,69.5,HIGH,11.22,100,37.15,TNEG
7822,1/23/2017,2265.2,4.71,5.36,-0.27,NP50,0.03,PP10,-0.24,NP25,-0.42,NP50,-0.73,-0.16,38,LOW,41,LOW,-7.03,-63.67,-102.9,TNEG
7823,1/24/2017,2280,4.8,5.59,0.65,P10,0.38,PP50,0.69,P10,0.54,P10,1.63,0.73,72.6,HIGH,83.2,HIGH,17.27,97.79,136.22,TPOS
7824,1/25/2017,2298,5.44,4.98,0.79,P10,1.45,P15,1.18,P15,1.21,P15,5.15,1.42,86.4,HIGH,132.3,SHIGH,45.5,100,148.82,TNEG
7825,1/26/2017,2296.68,5.11,4.81,-0.06,NP10,0.73,P10,1.39,P15,1.42,P15,5.24,0.5,81.9,HIGH,109.5,SHIGH,-0.49,59.57,90.02,TNEG
7826,1/27/2017,2294.69,4.81,5.13,-0.09,NP10,-0.14,NP25,0.64,P10,1.03,P15,4.07,-0.22,73.2,HIGH,41.5,LOW,-19.97,-40.89,52.08,TNEG
7827,1/30/2017,2273.5,4.45,5.24,-0.92,N1,-1.01,N15,-1.07,N15,0.37,PP50,-0.53,-1.61,27.1,LOW,17.6,SLOW,-39.41,-100,-87.85,TNEG
7828,1/31/2017,2278.9,4.99,5.52,0.24,PP25,-0.69,N1,-0.77,N1,-0.05,NP10,-1.08,-0.72,41.3,LOW,37,LOW,-8.25,-53.11,-86.13,TNEG
7829,2/1/2017,2279.55,4.58,5.31,0.03,PP10,0.27,PP50,-0.66,N1,-0.8,N1,-0.97,-0.2,43.2,LOW,56.5,HIGH,-3.91,100,-31.62,TNEG
7830,2/2/2017,2280.85,4.86,5.4,0.06,PP10,0.09,PP10,0.32,PP50,-0.69,N1,-0.56,0.07,48.5,LOW,62.4,HIGH,-1.91,24.49,-26.24,TPOS
7831,2/3/2017,2297.42,4.96,5.42,0.73,P10,0.78,P10,0.81,P10,0.12,PP25,2.43,1.02,81.3,HIGH,96.7,SHIGH,35.7,100,166.67,TNEG
7832,2/6/2017,2292.57,4.84,5.17,-0.21,NP25,0.51,P10,0.57,P10,0.84,P10,2.22,0.27,63.5,HIGH,78.5,HIGH,7.17,39.28,73.89,TNEG
7833,2/7/2017,2293.08,4.73,5.13,0.02,PP10,-0.19,NP25,0.54,P10,0.62,P10,1.86,-0.03,64.8,HIGH,45.1,LOW,-4.64,37.47,60.31,TNEG
7834,2/8/2017,2294.67,4.95,5.41,0.07,PP10,0.09,PP10,-0.12,NP25,0.66,P10,1.7,-0.06,69.5,HIGH,66.3,HIGH,3.5,-67,22.84,TNEG
7835,2/9/2017,2307.87,4.86,5.49,0.58,P10,0.64,P10,0.67,P10,1.18,P15,3.56,0.6,88.6,HIGH,87.5,HIGH,5.98,100,166.67,TNEG
7836,2/10/2017,2316.1,4.87,5.22,0.36,PP50,0.93,P10,1,P15,0.81,P10,4.96,0.67,92.8,SHIGH,90.8,SHIGH,3.21,92.07,124.28,TNEG
